"eventId","day","participantId","cohortId","action","originProject","destinationProject","requestedAmount","unit","executedAmount","sharesBurned","sharesMinted","gross","net","feesCCLX","currency","provenance","status","rejectionReason","capitalNew","capitalRecycled","cannibalizedCapital"
"e104","34","u00205","active_user","deposit","wallet","mangrove","157.62179396980096","CCLX","157.62179396980096","0","159.67748434399255","157.62179396980096","157.30655038186137","0.31524358793960194","CCLX","unrestricted","executed","","157.62179396980096","0",""
"e106","34","u00132","long_term","deposit","wallet","mangrove","479.78695345769097","CCLX","479.78695345769097","0","486.02040371974","479.78695345769097","478.82737955077556","0.9595739069153819","CCLX","unrestricted","executed","","479.78695345769097","0",""
"e107","35","u00222","whale","deposit","wallet","forest","2873.27901398385","CCLX","2873.27901398385","0","2571.677123666508","2873.27901398385","2867.532455955882","5.7465580279676995","CCLX","unrestricted","executed","","2873.27901398385","0",""
"e108","35","u00104","long_term","deposit","wallet","solar","84.99357181871635","CCLX","84.99357181871635","0","71.26431055413559","84.99357181871635","84.82358467507892","0.1699871436374327","CCLX","unrestricted","executed","","84.99357181871635","0",""
"e109","35","u00134","rebalancer","deposit","wallet","forest","537.3001065809053","CCLX","537.3001065809053","0","480.8218985160347","537.3001065809053","536.2255063677435","1.0746002131618106","CCLX","unrestricted","executed","","537.3001065809053","0",""
"e110","36","u00157","rebalancer","withdraw","forest","wallet","14.292316505741638","receipts","15.907696479909122","14.292316505741638","0","15.939575631171465","15.907696479909122","0.031879151262342934","CCLX","unrestricted","executed","","0","15.907696479909122",""
"e111","37","u00247","long_term","deposit","wallet","solar","120.08896006740169","CCLX","120.08896006740169","0","100.69005581503734","120.08896006740169","119.84878214726689","0.24017792013480338","CCLX","unrestricted","executed","","120.08896006740169","0",""
"e112","37","u00137","long_term","deposit","wallet","forest","159.91576209709075","CCLX","159.91576209709075","0","143.10166083858348","159.91576209709075","159.59593057289658","0.3198315241941815","CCLX","unrestricted","executed","","159.91576209709075","0",""
"e113","37","u00087","active_user","deposit","wallet","solar","31.07240732194084","CCLX","31.07240732194084","0","26.052928594872355","31.07240732194084","31.010262507296957","0.062144814643881684","CCLX","unrestricted","executed","","31.07240732194084","0",""
"e114","38","u00249","restricted_user","deposit","wallet","mangrove","236.48726710964397","CCLX","236.48726710964397","0","239.54650700418279","236.48726710964397","236.0142925754247","0.4729745342192879","CCLX","restricted","executed","","236.48726710964397","0",""
"e115","38","u00282","rebalancer","deposit","wallet","solar","94.77546635657777","CCLX","94.77546635657777","0","79.46502748597413","94.77546635657777","94.5859154238646","0.18955093271315554","CCLX","unrestricted","executed","","94.77546635657777","0",""
"e116","39","u00027","long_term","withdraw","mangrove","wallet","7.7025575067268175","receipts","7.57393574931752","7.7025575067268175","0","7.5891139772720635","7.57393574931752","0.015178227954544127","CCLX","unrestricted","executed","","0","7.57393574931752",""
"e117","39","u00039","active_user","migration","forest","solar","2.1914606003630652","receipts","2.4391844338756057","2.1914606003630652","2.045142425224185","2.444072579033673","2.4343060650078545","0.009766514025818556","CCLX","unrestricted","executed","","0","2.4391844338756057","2.4391844338756057"
"e118","39","u00167","long_term","deposit","wallet","solar","94.21324114864068","CCLX","94.21324114864068","0","78.99319506902248","94.21324114864068","94.02481466634339","0.18842648229728134","CCLX","unrestricted","executed","","94.21324114864068","0",""
"e119","39","u00269","long_term","deposit","wallet","forest","14.944642462343104","CCLX","14.944642462343104","0","13.3732011790853","14.944642462343104","14.914753177418419","0.029889284924686208","CCLX","unrestricted","executed","","14.944642462343104","0",""
"e120","40","u00276","active_user","deposit","wallet","solar","17.080620066056667","CCLX","17.080620066056667","0","14.321219663601369","17.080620066056667","17.046458825924553","0.03416124013211334","CCLX","unrestricted","executed","","17.080620066056667","0",""
"e121","41","u00248","restricted_user","deposit","wallet","mangrove","111.11190471218539","CCLX","111.11190471218539","0","112.54638288263232","111.11190471218539","110.88968090276101","0.22222380942437078","CCLX","restricted","executed","","111.11190471218539","0",""
"e122","42","u00248","restricted_user","withdraw","mangrove","wallet","25.560602599442003","receipts","25.134143893209753","25.560602599442003","0","25.184512919047847","25.134143893209753","0.050369025838095695","CCLX","restricted","executed","","0","25.134143893209753",""
"e123","42","u00246","long_term","deposit","wallet","forest","400.5682516648665","CCLX","400.5682516648665","0","358.4410050061997","400.5682516648665","399.76711516153676","0.8011365033297331","CCLX","unrestricted","executed","","400.5682516648665","0",""
"e124","42","u00030","active_user","deposit","wallet","solar","131.83143821360915","CCLX","131.83143821360915","0","110.53340314561501","131.83143821360915","131.56777533718193","0.2636628764272183","CCLX","unrestricted","executed","","131.83143821360915","0",""
"e127","43","u00210","rebalancer","deposit","wallet","forest","51.6212587281906","CCLX","51.6212587281906","0","46.19131199084222","51.6212587281906","51.51801621073422","0.1032425174563812","CCLX","unrestricted","executed","","51.6212587281906","0",""
"e128","43","u00280","rebalancer","deposit","wallet","mangrove","103.93315051173708","CCLX","103.93315051173708","0","105.27361361100338","103.93315051173708","103.72528421071361","0.20786630102347417","CCLX","unrestricted","executed","","103.93315051173708","0",""
"e129","43","u00270","rebalancer","deposit","wallet","solar","46.491078480447","CCLX","46.491078480447","0","38.980013953056186","46.491078480447","46.39809632348611","0.092982156960894","CCLX","unrestricted","executed","","46.491078480447","0",""
"e130","44","u00114","active_user","deposit","","","0","CCLX","0","0","0","0","0","0","CCLX","unrestricted","rejected","Insufficient available wallet balance.","0","0",""
"e131","45","u00280","rebalancer","migration","mangrove","solar","11.745380326249888","receipts","11.54957012536889","11.745380326249888","9.683614214882255","11.572715556481853","11.526470985118152","0.046244571363701484","CCLX","unrestricted","executed","","0","11.54957012536889","11.54957012536889"
"e132","45","u00159","active_user","deposit","wallet","forest","182.87501754350453","CCLX","182.87501754350453","0","163.63687844155356","182.87501754350453","182.5092675084175","0.36575003508700904","CCLX","unrestricted","executed","","182.87501754350453","0",""
"e133","46","u00046","long_term","deposit","wallet","solar","30.469685821826403","CCLX","30.469685821826403","0","25.54695371352136","30.469685821826403","30.40874645018275","0.060939371643652804","CCLX","unrestricted","executed","","30.469685821826403","0",""
"e134","46","u00148","long_term","deposit","wallet","mangrove","51.75836173877303","CCLX","51.75836173877303","0","52.425372313475236","51.75836173877303","51.654845015295486","0.10351672347754606","CCLX","unrestricted","executed","","51.75836173877303","0",""
"e135","47","u00222","whale","deposit","wallet","forest","1227.5817787210294","CCLX","1227.5817787210294","0","1098.367706310004","1227.5817787210294","1225.1266151635873","2.455163557442059","CCLX","unrestricted","executed","","1227.5817787210294","0",""
"e136","49","u00251","rebalancer","deposit","wallet","solar","94.92142745841754","CCLX","94.92142745841754","0","79.58548574149609","94.92142745841754","94.7315846035007","0.18984285491683509","CCLX","unrestricted","executed","","94.92142745841754","0",""
"e137","50","u00002","rebalancer","deposit","wallet","forest","64.0135517530494","CCLX","64.0135517530494","0","57.271986852632836","64.0135517530494","63.8855246495433","0.1280271035060988","CCLX","unrestricted","executed","","64.0135517530494","0",""
"e138","50","u00296","rebalancer","deposit","wallet","solar","169.45572959751655","CCLX","169.45572959751655","0","142.07662544073537","169.45572959751655","169.11681813832152","0.3389114591950331","CCLX","unrestricted","executed","","169.45572959751655","0",""
"e139","51","u00193","active_user","migration","mangrove","solar","6.132902603724155","receipts","6.030699360578787","6.132902603724155","5.0562892141751945","6.042784930439666","6.018637961857629","0.024146968582036906","CCLX","unrestricted","executed","","0","6.030699360578787","6.030699360578787"
"e141","51","u00198","rebalancer","deposit","wallet","solar","243.2930767959553","CCLX","243.2930767959553","0","203.98156917700544","243.2930767959553","242.8064906423634","0.4865861535919106","CCLX","unrestricted","executed","","243.2930767959553","0",""
"e142","51","u00280","rebalancer","migration","mangrove","forest","8.497104158008032","receipts","8.35549279964203","8.497104158008032","7.4755109515972435","8.372237274190411","8.338781814042747","0.03345546014766489","CCLX","unrestricted","executed","","0","8.35549279964203","8.35549279964203"
"e143","52","u00097","long_term","deposit","wallet","forest","30.437410917439998","CCLX","30.437410917439998","0","27.231759913498536","30.437410917439998","30.37653609560512","0.060874821834879994","CCLX","unrestricted","executed","","30.437410917439998","0",""
"e145","52","u00283","long_term","deposit","wallet","forest","168.7871192896094","CCLX","168.7871192896094","0","151.00910702091642","168.7871192896094","168.44954505103019","0.3375742385792188","CCLX","unrestricted","executed","","168.7871192896094","0",""
"e146","52","u00058","active_user","migration","forest","mangrove","20.00247066002263","receipts","22.268140180494637","20.00247066002263","22.555031451163813","22.312765711918473","22.223603900133647","0.08916181178482623","CCLX","unrestricted","executed","","0","22.268140180494637","22.268140180494637"
"e147","52","u00236","active_user","migration","solar","forest","24.312935452593933","receipts","28.882841972815804","24.312935452593933","25.840479353209957","28.940723419655114","28.82507628887017","0.11564713078494183","CCLX","unrestricted","executed","","0","28.882841972815804","28.882841972815804"
"e148","52","u00278","active_user","deposit","wallet","solar","98.58310925135056","CCLX","98.58310925135056","0","82.6533033810556","98.58310925135056","98.38594303284786","0.19716621850270113","CCLX","unrestricted","executed","","98.58310925135056","0",""
